iter	Logloss
0	0.685758925
1	0.6796126218
2	0.6719759912
3	0.6650104326
4	0.6591847607
5	0.6517929392
6	0.6454119731
7	0.6408583651
8	0.6341301436
9	0.6286163723
10	0.6231503831
11	0.6167326465
12	0.6102073119
13	0.6051395062
14	0.5991408358
15	0.594595801
16	0.5889703023
17	0.583484335
18	0.5790034029
19	0.5733705501
20	0.5671923529
21	0.5621055524
22	0.5572319424
23	0.551898563
24	0.546708805
25	0.5406704146
26	0.5361033174
27	0.5316678863
28	0.5276672521
29	0.5236542692
30	0.5184632134
31	0.514335475
32	0.5100913294
33	0.5060076369
34	0.502166866
35	0.4979183944
36	0.4938024541
37	0.4898746137
38	0.4860911418
39	0.4816403733
40	0.4769394865
41	0.4737423376
42	0.4697592037
43	0.4663229873
44	0.4619912216
45	0.4584084737
46	0.4556596107
47	0.4527537552
48	0.450240145
49	0.4459733078
50	0.4436157856
51	0.4408496188
52	0.4377465789
53	0.4340361762
54	0.4308975062
55	0.4284803253
56	0.4257191923
57	0.4226930363
58	0.4199689098
59	0.4171743491
60	0.4144951339
61	0.4120595873
62	0.4096190462
63	0.4072077643
64	0.4045407797
65	0.4020033374
66	0.3995616166
67	0.3976747965
68	0.395108803
69	0.3926354634
70	0.3905485881
71	0.3885371808
72	0.3863554099
73	0.3840829122
74	0.3818959502
75	0.3792096954
76	0.3767027707
77	0.3746807846
78	0.3719539839
79	0.3693598324
80	0.3676182069
81	0.3653731199
82	0.3631722362
83	0.3608584846
84	0.3589039832
85	0.3569040987
86	0.3545896393
87	0.3528358617
88	0.3509103834
89	0.3486485432
90	0.3466681648
91	0.3456846414
92	0.3439565442
93	0.3421012642
94	0.34015569
95	0.3380246507
96	0.3369864238
97	0.3350482429
98	0.3335530782
99	0.3321682645
100	0.3305938563
101	0.3289303141
102	0.3270268194
103	0.3253359057
104	0.3236273736
105	0.3222564619
106	0.3210870802
107	0.3195313916
108	0.3181410721
109	0.3172555707
110	0.3154902114
111	0.3140719699
112	0.3127600286
113	0.3114673968
114	0.3101320168
115	0.30864165
116	0.3075896981
117	0.3064486317
118	0.3051401119
119	0.3039597973
120	0.3031134458
121	0.3014607184
122	0.3002314617
123	0.2987530109
124	0.2973847143
125	0.2963089304
126	0.2951082839
127	0.2942516484
128	0.2930273862
129	0.2914237779
130	0.290089912
131	0.2888249269
132	0.2880034496
133	0.2866154307
134	0.2852706909
135	0.2841835022
136	0.2831726074
137	0.2818718546
138	0.2810530908
139	0.2798714982
140	0.2788444598
141	0.2778814257
142	0.2766074741
143	0.2754161677
144	0.2741784558
145	0.2729747222
146	0.2717818231
147	0.2708146007
148	0.2697933236
149	0.2690973577
150	0.2681220536
151	0.2672616231
152	0.2665493365
153	0.2656096429
154	0.2647126581
155	0.2637510005
156	0.2628991628
157	0.2615759741
158	0.260471049
159	0.2594792867
160	0.258563897
161	0.2576082761
162	0.2566925521
163	0.2557022449
164	0.2547997937
165	0.2540340424
166	0.2532279221
167	0.2524216839
168	0.2518242512
169	0.2512701762
170	0.2506783082
171	0.250091946
172	0.2492208186
173	0.2483660904
174	0.2474513496
175	0.2468978646
176	0.24604176
177	0.2451176594
178	0.2440231363
179	0.2433319092
180	0.2427066724
181	0.241795943
182	0.2409757437
183	0.2403952608
184	0.2394677978
185	0.2385647961
186	0.2382035403
187	0.2375024225
188	0.2368886102
189	0.2361331035
190	0.2354242777
191	0.2349285637
192	0.2344485017
193	0.2337918626
194	0.2331040766
195	0.2323838853
196	0.2317007202
197	0.2312446083
198	0.2304604914
199	0.2299313496
200	0.2293080989
201	0.2289627508
202	0.2283373174
