iter	Passed	Remaining
0	4	4438
1	7	3587
2	10	3324
3	12	3231
4	19	3907
5	22	3810
6	25	3621
7	28	3541
8	35	3935
9	40	4024
10	43	3946
11	47	3884
12	50	3832
13	55	3898
14	59	3936
15	64	3943
16	68	3968
17	71	3894
18	74	3867
19	77	3821
20	85	3992
21	88	3948
22	93	3955
23	101	4134
24	109	4283
25	116	4357
26	122	4400
27	128	4452
28	132	4429
29	135	4394
30	140	4405
31	143	4330
32	147	4309
33	152	4320
34	155	4282
35	159	4272
36	162	4237
37	166	4223
38	170	4209
39	174	4179
40	177	4156
41	181	4144
42	184	4113
43	188	4093
44	191	4073
45	195	4061
46	198	4032
47	202	4022
48	206	3998
49	208	3969
50	212	3958
51	215	3937
52	218	3908
53	221	3882
54	224	3863
55	227	3839
56	230	3810
57	233	3786
58	235	3758
59	238	3734
60	241	3715
61	244	3694
62	246	3673
63	250	3659
64	253	3643
65	256	3633
66	259	3613
67	263	3612
68	267	3609
69	271	3605
70	274	3590
71	277	3573
72	280	3559
73	282	3540
74	285	3522
75	288	3513
76	291	3498
77	295	3487
78	297	3473
79	300	3456
80	303	3441
81	306	3431
82	309	3419
83	312	3408
84	315	3401
85	318	3388
86	322	3380
87	324	3359
88	326	3346
89	330	3339
90	333	3327
91	336	3318
92	338	3302
93	341	3292
94	345	3293
95	348	3279
96	351	3270
97	354	3261
98	357	3251
99	360	3240
100	362	3228
101	365	3221
102	368	3213
103	372	3209
104	375	3200
105	378	3192
106	382	3192
107	385	3188
108	389	3180
109	391	3164
110	394	3160
111	396	3146
112	399	3139
113	402	3129
114	405	3117
115	408	3111
116	411	3102
117	413	3091
118	417	3091
119	420	3084
120	424	3081
121	427	3074
122	431	3076
123	435	3073
124	439	3076
125	443	3075
126	446	3071
127	451	3075
128	454	3066
129	457	3060
130	459	3051
131	462	3041
132	465	3036
133	471	3044
134	475	3049
135	479	3048
136	482	3041
137	486	3040
138	489	3031
139	492	3028
140	496	3023
141	499	3015
142	501	3006
143	505	3007
144	509	3003
145	513	3002
146	516	2996
147	519	2989
148	522	2982
149	525	2977
150	528	2972
151	531	2967
152	535	2962
153	537	2955
154	541	2951
155	544	2945
156	547	2942
157	551	2939
158	554	2935
159	557	2928
160	562	2929
161	567	2937
162	571	2936
163	576	2936
164	579	2933
165	583	2933
166	587	2928
167	592	2932
168	596	2933
169	600	2929
170	603	2926
171	606	2922
172	610	2920
173	615	2919
174	618	2915
175	622	2914
176	627	2915
177	631	2915
178	635	2916
179	639	2914
180	643	2912
181	648	2912
182	652	2912
183	655	2908
184	660	2911
185	665	2911
186	669	2909
187	672	2906
188	676	2904
189	681	2904
190	685	2904
191	691	2910
192	695	2908
193	699	2906
194	703	2902
195	707	2902
196	713	2909
197	718	2911
198	724	2915
199	727	2911
200	734	2920
201	738	2918
202	743	2919
203	747	2915
204	751	2915
205	755	2912
206	759	2907
207	762	2904
208	766	2901
209	770	2899
210	774	2897
211	780	2900
212	783	2896
213	787	2892
214	791	2889
215	794	2884
216	798	2879
217	801	2875
218	805	2874
219	810	2874
220	816	2877
221	821	2879
222	830	2892
223	834	2892
224	839	2892
225	843	2889
226	847	2885
227	850	2881
228	854	2875
229	857	2871
230	863	2874
231	869	2877
232	883	2907
233	887	2905
234	893	2908
235	900	2914
236	904	2911
237	908	2908
238	914	2913
239	918	2908
240	922	2904
241	926	2902
242	931	2901
243	935	2897
244	939	2895
245	943	2893
246	947	2887
247	950	2881
248	954	2880
249	959	2877
250	963	2873
251	966	2867
252	969	2861
253	973	2858
254	977	2854
255	980	2849
256	984	2846
257	988	2843
258	991	2837
259	995	2833
260	998	2827
261	1001	2820
262	1003	2813
263	1006	2806
264	1009	2799
265	1012	2793
266	1015	2786
267	1018	2780
268	1021	2776
269	1024	2770
270	1029	2770
271	1034	2767
272	1038	2765
273	1043	2763
274	1047	2762
275	1052	2760
276	1057	2759
277	1061	2755
278	1064	2750
279	1067	2746
280	1072	2745
281	1078	2746
282	1082	2743
283	1088	2743
284	1092	2741
285	1096	2736
286	1099	2731
287	1103	2727
288	1107	2723
289	1110	2718
290	1114	2714
291	1117	2709
292	1120	2704
293	1127	2706
294	1130	2702
295	1135	2700
296	1139	2698
297	1143	2692
298	1146	2687
299	1149	2682
300	1153	2678
301	1157	2674
302	1162	2673
303	1166	2670
304	1169	2664
305	1172	2659
306	1176	2655
307	1179	2649
308	1183	2645
309	1186	2641
310	1190	2636
311	1194	2634
312	1198	2631
313	1202	2627
314	1206	2623
315	1210	2619
316	1214	2616
317	1218	2612
318	1221	2607
319	1224	2602
320	1229	2599
321	1233	2596
322	1236	2591
323	1240	2588
324	1246	2589
325	1255	2594
326	1260	2593
327	1263	2588
328	1267	2584
329	1271	2582
330	1275	2577
331	1278	2572
332	1282	2569
333	1286	2565
334	1289	2560
335	1293	2555
336	1297	2551
337	1300	2547
338	1304	2543
339	1307	2538
340	1310	2533
341	1314	2528
342	1318	2524
343	1321	2519
344	1324	2515
345	1329	2512
346	1333	2509
347	1336	2504
348	1340	2499
349	1345	2498
350	1348	2493
351	1352	2489
352	1356	2486
353	1360	2482
354	1364	2478
355	1368	2475
356	1372	2472
357	1376	2467
358	1380	2464
359	1384	2460
360	1387	2455
361	1390	2451
362	1396	2450
363	1400	2446
364	1403	2442
365	1407	2437
366	1411	2433
367	1415	2430
368	1418	2426
369	1424	2425
370	1429	2423
371	1432	2418
372	1436	2414
373	1440	2410
374	1443	2405
375	1446	2400
376	1449	2395
377	1453	2392
378	1457	2388
379	1461	2384
380	1465	2381
381	1469	2377
382	1473	2373
383	1476	2369
384	1480	2365
385	1485	2363
386	1490	2361
387	1494	2357
388	1498	2354
389	1501	2348
390	1506	2345
391	1510	2343
392	1514	2339
393	1518	2336
394	1522	2331
395	1525	2327
396	1530	2324
397	1534	2320
398	1537	2316
399	1541	2311
400	1545	2307
401	1549	2304
402	1552	2299
403	1556	2296
404	1560	2291
405	1563	2287
406	1567	2283
407	1570	2279
408	1574	2274
409	1577	2270
410	1581	2266
411	1585	2262
412	1588	2258
413	1592	2253
414	1596	2250
415	1600	2246
416	1604	2242
417	1606	2236
418	1610	2232
419	1613	2228
420	1617	2224
421	1620	2219
422	1624	2215
423	1628	2211
424	1631	2207
425	1636	2205
426	1641	2202
427	1645	2199
428	1649	2195
429	1653	2192
430	1657	2187
431	1660	2182
432	1663	2178
433	1667	2174
434	1671	2170
435	1676	2168
436	1679	2163
437	1681	2157
438	1684	2152
439	1687	2147
440	1689	2142
